X8,,
num,round,time(ms)
1,9,51
2,24,48
3,53,85
4,96,144
5,153,361
6,224,436
7,309,652
8,408,973
9,521,1497
10,648,2350
11,789,3583
12,944,5583
13,1113,9320
14,1296,13687
15,1493,18846
16,1704,26037
17,1929,34844
18,2168,42872
19,2421,57777
20,2688,69092
21,2969,91762
22,3264,107712
23,3573,135193
24,3896,170216
25,4234,223103
26,4584,271215
27,4950,320990
28,5328,383330
29,5721,452121
30,6128,532988
31,6549,625988
32,6984,731632
33,7433,842727
34,7896,980032
35,8374,1070935
36,8864,1085790
37,9369,1243406
38,9888,1414359
39,10421,1594432
40,10969,1792290
41,11532,2014817
42,12105,2329522
43,12693,2512647
44,13296,2850399
45,13913,3289685
46,14544,3688828
47,15191,4306330
48,15848,5247479
49,16524,6061678
50,17212,6126564